,id,region,price,type,sqfeet,beds,baths,cats_allowed,dogs_allowed,smoking_allowed,wheelchair_access,electric_vehicle_charge,comes_furnished,laundry_options,parking_options,lat,long,state
245327,7051187894,Portland,1805,apartment,835,1,1.0,1,1,0,0,0,0,w/d in unit,off-street parking,45.5362,-122.686,OR
200808,7051072138,Jersey Shore,2200,apartment,1062,2,2.0,1,1,0,1,0,0,w/d in unit,street parking,40.2507,-74.0486,NJ
50169,7049255078,Orlando,1350,apartment,716,1,1.0,1,1,0,0,0,0,w/d in unit,street parking,28.3017,-81.5696,FL
139834,7047332321,Boston,1650,apartment,700,1,1.0,0,0,1,0,0,0,laundry on site,off-street parking,42.2491,-70.9978,MA
371672,7039065557,Hanford-Corcoran,1536,townhouse,1205,3,2.0,1,1,1,0,0,0,w/d hookups,attached garage,36.3572,-119.654,CA
239176,7049409903,Tulsa,539,apartment,700,1,1.0,1,1,1,0,0,0,laundry on site,off-street parking,36.0606,-95.9117,OK
199174,7048397339,Central Nj,2680,apartment,1581,2,2.0,1,1,1,0,0,0,Unknown,Unknown,40.5677,-74.558,NJ
264103,7049299677,Columbia,875,apartment,1200,2,2.0,1,1,1,0,0,0,Unknown,off-street parking,33.995,-81.0888,SC
289018,7050853410,Austin,1475,apartment,900,2,1.0,1,1,1,0,0,0,w/d hookups,Unknown,30.2313,-97.7793,TX
302555,7038637001,Laredo,1219,apartment,1052,2,2.0,1,1,1,0,0,0,w/d in unit,street parking,27.5663,-99.4994,TX
294919,7034943880,Dallas / Fort Worth,1890,apartment,1578,3,2.0,1,1,1,0,0,0,w/d hookups,attached garage,33.2362,-96.7954,TX
254150,7043348197,Philadelphia,1475,apartment,695,1,1.5,1,1,0,0,0,0,w/d in unit,off-street parking,39.9624,-75.1603,PA
379445,7047152193,Monterey Bay,1960,apartment,953,2,2.0,1,1,1,1,1,0,laundry on site,carport,36.6894,-121.65899999999999,CA
359550,7048374476,Phoenix,1050,apartment,800,1,1.0,1,1,1,0,0,0,w/d in unit,carport,33.6819,-112.1,AZ
124010,7028378541,Western Ky,709,apartment,900,2,1.0,1,1,1,0,0,0,w/d hookups,off-street parking,36.8831,-87.4842,KY
69223,7049875440,Atlanta,1280,apartment,1326,3,2.0,1,1,1,0,0,0,w/d hookups,street parking,34.2505,-84.4909,GA
88884,7023005498,Champaign Urbana,2425,apartment,1364,3,3.0,0,0,0,0,0,1,w/d in unit,carport,40.111,-88.2407,IL
198812,7050295710,Reno / Tahoe,1449,apartment,712,1,1.0,1,1,0,1,0,0,w/d in unit,carport,39.5356,-119.727,NV
30558,7050062056,"Washington, Dc",1483,apartment,850,1,1.0,1,1,1,0,0,1,laundry in bldg,Unknown,38.8127,-77.1292,DC
203477,7045146852,South Jersey,1460,apartment,800,2,1.0,1,1,1,0,0,0,w/d in unit,Unknown,40.0086,-74.7896,NJ
225975,7037017922,Cincinnati,845,apartment,795,2,1.0,1,1,1,0,0,0,Unknown,Unknown,39.1432,-84.5217,OH
213984,7049266909,Rochester,1450,duplex,1250,3,1.0,1,1,0,0,0,0,w/d in unit,off-street parking,43.1395,-77.6138,NY
384263,7050024239,Reno / Tahoe,1086,apartment,720,1,1.0,1,1,1,0,0,0,laundry in bldg,carport,39.4572,-119.77600000000001,CA
225184,7037940499,Cincinnati,840,apartment,970,2,2.0,1,1,1,0,0,0,w/d hookups,Unknown,38.9742,-84.3881,OH
59064,7044583530,Space Coast,998,apartment,720,1,1.0,1,1,1,0,0,0,w/d hookups,carport,28.0188,-80.6366,FL
316942,7040916038,Provo / Orem,1112,apartment,746,1,1.0,0,0,1,0,0,0,Unknown,Unknown,40.2972,-111.721,UT
365958,7046381762,Little Rock,868,apartment,908,2,2.0,1,1,1,0,0,0,w/d hookups,off-street parking,34.8135,-92.4963,AR
360726,7036668742,Phoenix,1095,apartment,1365,2,2.0,1,1,1,0,0,0,w/d in unit,carport,33.3665,-111.931,AZ
43214,7049125747,Jacksonville,860,apartment,1120,2,2.0,1,1,1,0,0,0,laundry on site,off-street parking,30.3287,-81.5782,FL
209461,7043344726,Buffalo,1095,loft,844,2,1.0,1,1,0,0,0,0,laundry in bldg,off-street parking,42.9206,-78.8529,NY
232833,7050656873,Northern Panhandle,1200,house,1344,5,2.0,1,1,1,0,0,0,Unknown,Unknown,40.3603,-80.9039,OH
213495,7048021005,New York City,2950,apartment,1100,3,1.0,0,0,1,0,0,0,w/d in unit,street parking,40.6611,-73.9507,NY
312371,7039841652,Tyler / East Tx,1100,manufactured,1216,3,2.0,1,1,1,0,0,0,w/d hookups,off-street parking,32.2768,-95.3031,TX
200008,7046289409,Central Nj,2534,apartment,1083,2,2.0,0,0,0,1,0,0,w/d in unit,off-street parking,40.5515,-74.459,NJ
352117,7048258951,Mobile,585,apartment,405,0,1.0,1,1,1,0,0,0,laundry on site,Unknown,30.6817,-88.2945,AL
208650,7036403452,Binghamton,900,apartment,1674,3,1.0,0,0,0,0,0,0,w/d in unit,detached garage,42.1001,-75.8958,NY
313476,7043398883,Waco,799,apartment,800,2,2.0,1,1,0,1,0,0,w/d in unit,off-street parking,31.535,-97.1899,TX
188391,7048928694,Raleigh / Durham / Ch,946,apartment,719,1,1.0,1,1,1,1,0,0,w/d hookups,off-street parking,35.7572,-78.8745,NC
128853,7049292253,New Orleans,1995,apartment,1366,2,2.0,0,0,1,0,0,0,Unknown,Unknown,29.9645,-90.2052,LA
227181,7049835261,Cleveland,910,apartment,777,2,2.0,1,1,1,0,0,0,Unknown,Unknown,41.4713,-81.7474,OH
314479,7041228867,Wichita Falls,715,apartment,761,1,1.0,1,1,1,0,0,0,laundry in bldg,carport,33.8894,-98.5119,TX
158167,7040011796,Southwest Michigan,629,apartment,549,1,1.0,0,0,1,0,0,0,Unknown,Unknown,41.6637,-86.084,MI
73055,7037827252,Augusta,1160,apartment,698,1,1.0,1,1,0,0,0,0,w/d in unit,off-street parking,33.4652,-81.9927,GA
142415,7035198921,Western Massachusetts,1514,apartment,850,2,1.0,1,1,1,0,0,0,laundry in bldg,off-street parking,42.3506,-72.5274,MA
61084,7049204199,Tallahassee,610,apartment,1500,4,4.0,1,1,1,0,0,0,w/d in unit,off-street parking,30.4392,-84.3171,FL
307779,7050972944,San Antonio,874,apartment,987,2,2.0,0,0,1,0,0,0,Unknown,Unknown,29.3595,-98.4499,TX
2539,7046550174,Sacramento,1785,apartment,875,2,2.0,1,1,1,0,0,0,laundry on site,street parking,38.2541,-122.02,CA
384809,7042110115,Boulder,795,apartment,550,1,1.0,0,0,0,0,0,0,laundry on site,Unknown,40.185,-105.085,CO
352110,7031992515,Mobile,853,apartment,917,2,2.0,1,1,0,1,0,0,w/d hookups,off-street parking,30.8076,-86.9717,AL
275870,7045439939,Jackson,820,apartment,910,1,0.0,1,1,1,0,0,0,Unknown,Unknown,35.6829,-88.8281,TN
361471,7049978117,Tucson,1380,apartment,910,1,1.0,1,1,1,0,0,0,w/d in unit,carport,32.2434,-111.01799999999999,AZ
177564,7045242352,Charlotte,1245,apartment,1114,2,2.0,1,1,0,0,0,0,w/d in unit,off-street parking,35.4229,-80.6791,NC
29668,7039249767,New Haven,2000,townhouse,1550,1,1.0,0,0,0,0,0,0,w/d in unit,attached garage,41.2338,-73.0747,CT
19263,7046861848,Colorado Springs,950,apartment,984,3,1.0,1,1,1,0,0,0,laundry in bldg,attached garage,38.8076,-104.74,CO
275109,7035169463,Clarksville,735,apartment,850,1,1.0,1,1,1,0,0,0,laundry on site,off-street parking,36.5107,-87.2757,TN
337370,7051064904,Seattle-Tacoma,2600,apartment,763,1,1.0,1,1,0,1,1,0,Unknown,attached garage,47.6172,-122.331,WA
106895,7048157458,Iowa City,1235,condo,1189,5,2.5,1,1,1,0,0,0,Unknown,Unknown,42.0187,-91.646,IA
308038,7050863724,San Antonio,717,apartment,690,1,1.0,1,1,1,0,0,0,laundry on site,Unknown,29.5391,-98.5513,TX
342030,7049735722,La Crosse,550,apartment,600,0,1.0,0,0,0,0,0,0,Unknown,off-street parking,43.7581,-91.3579,WI
321888,7023194920,Charlottesville,1020,apartment,1062,2,1.5,1,1,1,0,0,0,laundry on site,Unknown,38.0936,-78.5611,VA
109959,7043907764,Omaha / Council Bluffs,860,apartment,1100,2,2.0,1,1,1,0,0,0,laundry in bldg,attached garage,41.2949,-96.0546,IA
116907,7050726998,Wichita,523,apartment,625,1,1.0,1,1,0,0,0,0,laundry on site,Unknown,37.7088,-97.3853,KS
260253,7046783943,Rhode Island,949,apartment,500,1,1.0,1,1,0,1,0,0,laundry in bldg,off-street parking,41.7479,-71.3447,RI
242146,7027615785,Corvallis/Albany,1995,house,1839,3,2.0,0,0,0,0,0,0,w/d hookups,attached garage,44.6398,-123.09299999999999,OR
295814,7049170159,Dallas / Fort Worth,1725,apartment,1174,2,2.0,1,1,1,0,0,0,w/d in unit,off-street parking,33.0277,-96.6777,TX
125173,7043388527,Baton Rouge,585,apartment,700,1,1.0,0,0,1,0,0,0,Unknown,off-street parking,30.4192,-91.1882,LA
288065,7036033981,Austin,1320,apartment,967,1,1.0,1,1,1,0,0,0,w/d hookups,off-street parking,30.2315,-97.7223,TX
41978,7027225112,Heartland Florida,1000,house,1100,2,2.0,1,1,1,0,0,0,w/d in unit,carport,27.4968,-81.4914,FL
293757,7044523674,Corpus Christi,759,apartment,576,1,1.0,1,1,1,0,0,0,laundry on site,Unknown,27.6889,-97.3627,TX
12772,7045179536,Ventura County,2600,condo,1884,3,3.0,0,0,0,0,0,0,w/d in unit,attached garage,34.2788,-119.165,CA
244348,7040974642,Medford-Ashland,1400,townhouse,1318,2,2.5,0,0,1,0,0,0,w/d hookups,attached garage,42.4638,-123.346,OR
286025,7041297652,Amarillo,950,manufactured,1171,3,2.0,0,0,1,0,0,0,w/d hookups,off-street parking,35.2767,-101.82,TX
362154,7049349082,Tucson,915,apartment,1050,2,2.0,1,1,1,0,0,0,laundry on site,off-street parking,32.3906,-110.964,AZ
269310,7028256215,Hilton Head,875,apartment,860,2,1.0,1,1,1,0,0,0,w/d hookups,off-street parking,32.4316,-80.6698,SC
85548,7048749333,Spokane / Coeur D'Alene,2180,apartment,1484,3,2.0,1,1,0,0,0,0,w/d in unit,attached garage,47.683,-117.10600000000001,ID
338802,7041282915,Wenatchee,2175,house,2770,5,2.5,0,0,1,0,0,0,w/d in unit,attached garage,46.3844,-118.944,WA
